IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP487;CR_PRICE_1_USD
Эмаль медь (0.08 кг.) Церта-Патина, итальянская серия;Эмаль медь (0.08 кг.) Церта-Патина, итальянская серия;"Эмаль «Церта-Патина» применяется для патинирования изделий из металла, предварительно окрашенных кузнечной эмалью «Церта-Пласт».

<p>Быстрое высыхание в естественных условиях — сушка «на отлип» в течение 15 мин. Растворители: сольвент, ксилол, толуол.

<p>Технология нанесения<br/>

Наносить плоской кистью на фактурную или шероховатую поверхность. На палитру нанести небольшое количество патины. Слегка подсохший материал растереть влажной кистью, смоченной в растворителе. Пройтись кистью по выпуклым местам кованого изделия, по ребрам, впадинам и т.п.

<p>Излишки снимать ветошью или кистью. Для более насыщенного цвета растирать патину менее интенсивно.";;11.02
Пика 120*40 мм., осн. Ø25 мм., горячештамп.;Пика 120*40 мм., осн. Ø25 мм., горячештамп.;;;1.15
Обжимка 15*1.5 мм., 1200 мм.;Обжимка 15*1.5 мм., 1200 мм.;;;1.33
Накладка кольцо с цветком Ø120 мм., штамп.;Накладка кольцо с цветком Ø120 мм., штамп.;;;2.04
Лист малый 119*79 мм., ≠2 мм., штамп.;Лист малый 119*79 мм., ≠2 мм., штамп.;;;1.8
Лист средний 158*108 мм., ≠2 мм., штамп.;Лист средний 158*108 мм., ≠2 мм., штамп.;;;2.54
Лист большой 200*135 мм., ≠2 мм., штамп.;Лист большой 200*135 мм., ≠2 мм., штамп.;;;3.68
Заклепка пирамидка большая 29*29 мм., ≠12,5 мм., четырехгранная, кованая;Заклепка пирамидка большая 29*29 мм., ≠12,5 мм., четырехгранная, кованая;;;0.59
Держатель поручня НОЭЗ ОП-75-3-SL матовый Черный;Держатель поручня НОЭЗ ОП-75-3-SL матовый Черный;;;10.53
Задвижка дверная НОЭЗ ЗД-110-Пр-SL проушины ЧЕРНЫЙ;Задвижка дверная НОЭЗ ЗД-110-Пр-SL проушины ЧЕРНЫЙ;;;8.98
Петля-стрела фигур. НОЭЗ ПС-200-SL матовый ЧЕРНЫЙ;Петля-стрела фигур. НОЭЗ ПС-200-SL матовый ЧЕРНЫЙ;;;11.39
Петля-стрела фигур. НОЭЗ ПС-300-SL матовый ЧЕРНЫЙ;Петля-стрела фигур. НОЭЗ ПС-300-SL матовый ЧЕРНЫЙ;;;14.21
Пластина декор. НОЭЗ ПД-500-25-2-S матов. ЧЕРНЫЙ;Пластина декор. НОЭЗ ПД-500-25-2-S матов. ЧЕРНЫЙ;;;5.26
Ручка-скоба с деревом НОЭЗ РС200-ТР-SL оксид;Ручка-скоба с деревом НОЭЗ РС200-ТР-SL оксид;;;6.69
Цветок 16* Ø45 мм., ≠0.3 мм., штамп.;Цветок 16* Ø45 мм., ≠0.3 мм., штамп.;;;13.34
Цветок 12* Ø45 мм., ≠0.3 мм., штамп.;Цветок 12* Ø45 мм., ≠0.3 мм., штамп.;;;9.44
Цветок 25* Ø90 мм., штамп.;Цветок 25* Ø90 мм., штамп.;;;10.5
Цветок 25* Ø150 мм., штамп.;Цветок 25* Ø150 мм., штамп.;;;10.31
Лист 55*50 мм., ≠1.5 мм., штамп.;Лист 55*50 мм., ≠1.5 мм., штамп.;;;0.37
Роза высокая БОЛЬШАЯ 540*160 мм., кованая;Роза высокая БОЛЬШАЯ 540*160 мм., кованая;;;27.86
Лист 90*55 мм., ≠1 мм., штамп.;Лист 90*55 мм., ≠1 мм., штамп.;;;0.71
Растворитель (0.25 л.) Hammerite;Растворитель (0.25 л.) Hammerite;"Растворитель Hammerite — это незаменимый продукт при проведении любых покрасочных работ. Его можно использовать для подготовки и обезжиривания поверхности перед окрашиванием, разбавления красок и эмалей, очистки малярного инструмента и удаления пятен от жира и краски с одежды, рук и т.д.
<p>
Преимущества:
<ul>
<li>привлекательная цена;
<li>превосходное качество;
<li>экономичная фасовка.
<li>деароматизирован;
<li>обладает отличными чистящими свойствами;
<li>идеально удаляет «жирные» загрязнения;
<li>разбавляет краску Hammerite без снижения ее качества.
</ul>";;15.11
Ромашка Ø120 мм., ≠2 мм., штамп.;Ромашка Ø120 мм., ≠2 мм., штамп.;;;2.17
Заклепка шестигранник Ø20 мм., ≠7.5 мм., малая, кованая;Заклепка шестигранник Ø20 мм., ≠7.5 мм., малая, кованая;;;0.37
Роза большая 410*215 мм., кованая;Роза большая 410*215 мм., кованая;;;27.86
Лист розы 120*40 мм., ≠2 мм., малый, штамп.;Лист розы 120*40 мм., ≠2 мм., малый, штамп.;;;0.71
Заклепка вертушка Ø28 мм., ≠8 мм., средняя, кованая;Заклепка вертушка Ø28 мм., ≠8 мм., средняя, кованая;;;0.4
Заклепка ландыш Ø30 мм., ≠14.5 мм., кованая;Заклепка ландыш Ø30 мм., ≠14.5 мм., кованая;;;0.4
Заклепка пирамидка Ø30 мм., ≠12.5 мм., средняя, кованая;Заклепка пирамидка Ø30 мм., ≠12.5 мм., средняя, кованая;;;0.4
Заклепка вертушка Ø21 мм., ≠7.5 мм., малая, кованая;Заклепка вертушка Ø21 мм., ≠7.5 мм., малая, кованая;;;0.31
Кольцо «Витое» Ø490 мм.;Кольцо «Витое» Ø490 мм.;;;11.21
Эмаль по рж. антикоррозийная, млт. синяя (0.8 кг.) КВИЛ;Эмаль по рж. антикоррозийная, млт. синяя (0.8 кг.) КВИЛ;"Изготовлена на основе модифицированного алкидного лака, светостой-
ких пигментов с добавлением сиккатива, органических растворителей и
функциональных добавок.
<p>НАЗНАЧЕНИЕ. Для одновременного преобразования ржавчины, антикоррозионного
грунтования и финишной окраски чистых и прокорродировавших ме-
таллических поверхностей с толщиной прочно связанной с металлом
ржавчины до 100 мкм, требующих хороших декоративных свойств и дли-
тельного срока службы в атмосферных условиях и внутри помещений.
<p>ОБЪЕКТЫ ПРИМЕНЕНИЯ. Промышленное оборудование, двери, ворота, ограждения, корпуса видео-
и аудиоаппаратуры (кинопроекторы, телескопы), банковская техника,
изделия художественной ковки, металлическая мебель (стеллажи, шка-
фы, сейфы и др.).
<p>СВОЙСТВА. Быстро высыхает. Образует рисунчатое (молотковое) покрытие, маски-
рующее мелкие дефекты поверхности. Своеобразный фактурный рису-
нок подчеркивает красоту изделий ручной работы. Покрытие обладает
высокой атмосферостойкостью, повышенной влаго- и противокоррози-
онной стойкостью. Применение эмали значительно упрощает подготовку
поверхности перед окрашиванием и удешевляет технологию создания
антикоррозионного покрытия, т.к. не требует пр";;19.94
Вензель 550*265 мм., □15 мм.;Вензель 550*265 мм., □15 мм.;;;5.57
Заглушка 25 мм., осн. □100 мм., ПНД;Заглушка 25 мм., осн. □100 мм., ПНД;;;1.61
Вензель 112*85 мм., □10 мм.;Вензель 112*85 мм., □10 мм.;;;1.08
Волюта 285*108*55 мм., □10 мм. ;Волюта 285*108*55 мм., □10 мм. ;;;1.39
Волюта 480*120*120 мм., □10 мм.;Волюта 480*120*120 мм., □10 мм.;;;2.66
Завиток 125*72 мм., 15 мм.;Завиток 125*72 мм., 15 мм.;;;1.05
Завиток 123*70 мм., □15 мм.;Завиток 123*70 мм., □15 мм.;;;0.68
Кольцо декор. Ø140 мм., □15 мм.;Кольцо декор. Ø140 мм., □15 мм.;;;2.14
Вензель 130*65 мм., □15 мм.;Вензель 130*65 мм., □15 мм.;;;1.46
Вензель 140*96 мм., □15 мм.;Вензель 140*96 мм., □15 мм.;;;1.67
Вензель 149*102 мм., □15 мм.;Вензель 149*102 мм., □15 мм.;;;1.86
Вензель 160*108 мм., □15 мм.;Вензель 160*108 мм., □15 мм.;;;2.01
Вензель 240*155 мм., □15 мм.;Вензель 240*155 мм., □15 мм.;;;3.25
Вензель 415*290 мм., □15 мм., крупный завиток;Вензель 415*290 мм., □15 мм., крупный завиток;;;7.03
Волюта 380*130*65 мм., □15 мм.;Волюта 380*130*65 мм., □15 мм.;;;2.88
Волюта 395*155 мм., □15 мм.;Волюта 395*155 мм., □15 мм.;;;3.78
Волюта 460*160 мм., □15 мм.;Волюта 460*160 мм., □15 мм.;;;3.19
Волюта 545*192 мм., □15 мм.;Волюта 545*192 мм., □15 мм.;;;4.95
Волюта 615*247*130 мм., 15 мм.;Волюта 615*247*130 мм., 15 мм.;;;4.71
Вензель 435*325 мм., □20 мм.;Вензель 435*325 мм., □20 мм.;;;11.11
Волюта 860*333*113 мм., □20 мм.;Волюта 860*333*113 мм., □20 мм.;;;12.72
Торсион □12 мм., 3000 мм., металлозаготовка;Торсион □12 мм., 3000 мм., металлозаготовка;;;23.03
Балясина 860*280 мм., труба 15*15 мм.;Балясина 860*280 мм., труба 15*15 мм.;;;12.57
Балясина 720*360 мм., труба 15*15 мм.;Балясина 720*360 мм., труба 15*15 мм.;;;15.57
Балясина 920*160*150 мм., труба 15*15 мм.;Балясина 920*160*150 мм., труба 15*15 мм.;;;8.36
Балясина 920*160 мм., труба 15*15 мм.;Балясина 920*160 мм., труба 15*15 мм.;;;5.88
Декоративный колпачок, на трубу 15*15 мм.;Декоративный колпачок, на трубу 15*15 мм.;;;0.62
Узор «Ромашка» Ø425 мм., □15 мм.;Узор «Ромашка» Ø425 мм., □15 мм.;;;12.14
Труба 14*1.2 мм., 3000 мм., витая;Труба 14*1.2 мм., 3000 мм., витая;;;11.89
Шпингалет-засов 535 мм., осн. 387 мм.;Шпингалет-засов 535 мм., осн. 387 мм.;;;19.26
Вставка 80*33 мм., □14 мм., в балясины;Вставка 80*33 мм., □14 мм., в балясины;;;4.64
Виноградная гроздь 170*100 мм., с листочком;Виноградная гроздь 170*100 мм., с листочком;;;14.24
Виноградная гроздь 200*140 мм., с листочком;Виноградная гроздь 200*140 мм., с листочком;;;16.72
Розетка 530*420 мм., □12 мм., с центр. цветком, кованая;Розетка 530*420 мм., □12 мм., с центр. цветком, кованая;;;27.24
Лист 190*80 мм., ≠4 мм., литье;Лист 190*80 мм., ≠4 мм., литье;;;5.42
Вставка 70* Ø35 мм., отв. Ø14.5 мм., декоративная;Вставка 70* Ø35 мм., отв. Ø14.5 мм., декоративная;;;2.14
Вставка 45*38 мм., отв. □12 мм., декоративная;Вставка 45*38 мм., отв. □12 мм., декоративная;;;1.86
Вставка 70* Ø35 мм., отв. Ø16.5 мм., декоративная;Вставка 70* Ø35 мм., отв. Ø16.5 мм., декоративная;;;2.07
Вставка 125* Ø35 мм., отв. Ø12.5 мм., декоративная;Вставка 125* Ø35 мм., отв. Ø12.5 мм., декоративная;;;2.76
Вставка 125* Ø35 мм., отв. Ø14.5 мм., декоративная;Вставка 125* Ø35 мм., отв. Ø14.5 мм., декоративная;;;2.82
Вставка 70* Ø35 мм., отв. Ø12.5 мм., декоративная;Вставка 70* Ø35 мм., отв. Ø12.5 мм., декоративная;;;1.7
Вставка 65*38 мм., отв. □12.5 мм., декоративная;Вставка 65*38 мм., отв. □12.5 мм., декоративная;;;4.12
Вставка 65*38 мм., отв. □16.5 мм., декоративная;Вставка 65*38 мм., отв. □16.5 мм., декоративная;;;2.48
Виноград 90*45 мм., ≠1 мм., штамп.;Виноград 90*45 мм., ≠1 мм., штамп.;;;0.43
Завиток 275*160 мм., □12 мм.;Завиток 275*160 мм., □12 мм.;;;4.46
Лист 155*90 мм., ≠5 мм., кованый;Лист 155*90 мм., ≠5 мм., кованый;;;11.52
Грунтовка серая (0.9 кг.) РАСКРАС, ГФ-021;Грунтовка серая (0.9 кг.) РАСКРАС, ГФ-021;;;7.21
Колпачок Ø45 мм., без отв., ≠1.2 мм., штамп.;Колпачок Ø45 мм., без отв., ≠1.2 мм., штамп.;;;0.62
Декоративный колпачок Ø45*1.5 мм., на полосу 20*4 мм.;Декоративный колпачок Ø45*1.5 мм., на полосу 20*4 мм.;;;0.62
