IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP487;CR_PRICE_1_USD
Полоса 40*4 мм., 3000 мм., «Капелька» ZIP;Полоса 40*4 мм., 3000 мм., «Капелька» ZIP;;;19.54
Поручень 60*31*1,5 мм., 3000 мм., пустотелый, цветоч. орнамент;Поручень 60*31*1,5 мм., 3000 мм., пустотелый, цветоч. орнамент;;;34.67
Поручень 50*51*1,5 мм., 3000 мм., пустотелый, цветоч. орнамент;Поручень 50*51*1,5 мм., 3000 мм., пустотелый, цветоч. орнамент;;;34.06
Заглушка 22 мм., осн. Ø32 мм., ПНД белая;Заглушка 22 мм., осн. Ø32 мм., ПНД белая;;;0.43
Хомутная полоса 11*3 мм., 4000 мм.;Хомутная полоса 11*3 мм., 4000 мм.;;;17.18
Хомутная полоса 16*5 мм., 4000 мм.;Хомутная полоса 16*5 мм., 4000 мм.;;;29.97
Квадрат □10 мм., 3000 мм., прокатанный по ребрам;Квадрат □10 мм., 3000 мм., прокатанный по ребрам;;;19.94
Квадрат □10 мм., 3000 мм., прокатанный по граням;Квадрат □10 мм., 3000 мм., прокатанный по граням;;;18.08
Торсион □10 мм., 3000 мм.;Торсион □10 мм., 3000 мм.;;;17.31
Квадрат □10 мм., 3000 мм., с 4 канавками;Квадрат □10 мм., 3000 мм., с 4 канавками;;;17.31
Квадрат □12 мм., 3000 мм., прокатанный по ребрам;Квадрат □12 мм., 3000 мм., прокатанный по ребрам;;;24.58
Торсион □12 мм., 3000 мм.;Торсион □12 мм., 3000 мм.;;;22.97
Квадрат □14 мм., 3000 мм., прокатанный по ребрам;Квадрат □14 мм., 3000 мм., прокатанный по ребрам;;;30.31
Квадрат □14 мм., 3000 мм., прокатанный по граням;Квадрат □14 мм., 3000 мм., прокатанный по граням;;;29.69
Торсион □14 мм., 3000 мм.;Торсион □14 мм., 3000 мм.;;;30.31
Квадрат □16 мм., 3000 мм., прокатанный по граням;Квадрат □16 мм., 3000 мм., прокатанный по граням;;;40.87
Профиль □12 мм., 3000 мм., прокатанный с 4 канавками;Профиль □12 мм., 3000 мм., прокатанный с 4 канавками;;;21.11
Профиль □12 мм., 5000 мм., «Монастырская вязь»;Профиль □12 мм., 5000 мм., «Монастырская вязь»;;;47.99
Навершие 200*200 мм., ≠1 мм., для столба;Навершие 200*200 мм., ≠1 мм., для столба;;;5.2
Лист 240*140 мм., ≠2 мм., штамп., (пара);Лист 240*140 мм., ≠2 мм., штамп., (пара);;;4.52
Лист 110*95 мм., ≠2 мм., штамп., (пара);Лист 110*95 мм., ≠2 мм., штамп., (пара);;;1.92
Навершие Ø42 мм., ≠1 мм., для столба;Навершие Ø42 мм., ≠1 мм., для столба;;;0.37
Подпятник 85*75 мм., отв. 40*20 мм, ≠1 мм., штамп.;Подпятник 85*75 мм., отв. 40*20 мм, ≠1 мм., штамп.;;;0.59
Заглушка 15,5 мм., осн. Ø16 мм., внут. ПНД черная;Заглушка 15,5 мм., осн. Ø16 мм., внут. ПНД черная;;;0.12
Заглушка 16,5 мм., осн. Ø20 мм., внут. ПНД черная;Заглушка 16,5 мм., осн. Ø20 мм., внут. ПНД черная;;;0.15
Заглушка 15 мм., осн. Ø25 мм., внут. ПНД черная;Заглушка 15 мм., осн. Ø25 мм., внут. ПНД черная;;;0.19
Пика 135*70 мм., осн. Ø26 мм., горячештамп.;Пика 135*70 мм., осн. Ø26 мм., горячештамп.;;;1.7
Подпятник 75*75 мм., отв. □30 мм., ≠3.5 мм., литье;Подпятник 75*75 мм., отв. □30 мм., ≠3.5 мм., литье;;;2.32
Подпятник 75*75 мм., отв. □25 мм., ≠3.5 мм., литье;Подпятник 75*75 мм., отв. □25 мм., ≠3.5 мм., литье;;;2.32
Подпятник 75*75 мм., отв. □20 мм., ≠3.5 мм., литье;Подпятник 75*75 мм., отв. □20 мм., ≠3.5 мм., литье;;;2.32
Подпятник 50*50 мм., отв. □12 мм., ≠3 мм., литье;Подпятник 50*50 мм., отв. □12 мм., ≠3 мм., литье;;;1.83
Грунт-эмаль по рж. темно-зеленый корроед (0.9 кг.) КВИЛ;Грунт-эмаль по рж. темно-зеленый корроед (0.9 кг.) КВИЛ;;;22.48
Подпятник 71*71 мм., отв. □12 мм., ≠5 мм., кованый;Подпятник 71*71 мм., отв. □12 мм., ≠5 мм., кованый;;;7.43
Эмаль серебро (0.08 кг.), термостойкая 700°, Церта-Патина;Эмаль серебро (0.08 кг.), термостойкая 700°, Церта-Патина;"Эмаль «Церта-Патина» применяется для патинирования изделий из металла, предварительно окрашенных кузнечной эмалью «Церта-Пласт».

<p>Быстрое высыхание в естественных условиях — сушка «на отлип» в течение 15 мин. Растворители: сольвент, ксилол, толуол.

<p>Технология нанесения<br/>

Наносить плоской кистью на фактурную или шероховатую поверхность. На палитру нанести небольшое количество патины. Слегка подсохший материал растереть влажной кистью, смоченной в растворителе. Пройтись кистью по выпуклым местам кованого изделия, по ребрам, впадинам и т.п.

<p>Излишки снимать ветошью или кистью. Для более насыщенного цвета растирать патину менее интенсивно.";;10.22
Поручень ≠40*8 мм., 3000 мм., с узором;Поручень ≠40*8 мм., 3000 мм., с узором;;;24.71
Навершие 40*80 мм., ≠1 мм., для столба;Навершие 40*80 мм., ≠1 мм., для столба;;;0.71
Вставка 33*22 мм., отв. □12.5 мм., декоративная;Вставка 33*22 мм., отв. □12.5 мм., декоративная;;;1.42
Наконечник 85 мм., осн. Ø 42 мм., горячештамп.;Наконечник 85 мм., осн. Ø 42 мм., горячештамп.;;;4.58
Пика 115*53 мм., осн. □12 мм., лилия, горячештамп. ;Пика 115*53 мм., осн. □12 мм., лилия, горячештамп. ;;;1.08
Накладка 285*155 мм., ≠2 мм., штамп, (пара);Накладка 285*155 мм., ≠2 мм., штамп, (пара);;;12.69
Накладка 262*120 мм., ≠1 мм., штамп., (пара);Накладка 262*120 мм., ≠1 мм., штамп., (пара);;;4.49
Цветок Ø95 мм., ≠3 мм., с шариком, штамп.;Цветок Ø95 мм., ≠3 мм., с шариком, штамп.;;;3.03
Ручка 290*160*2 мм., с накладкой, (пара);Ручка 290*160*2 мм., с накладкой, (пара);;;55.73
Балясина 900*300 мм., □12 мм.;Балясина 900*300 мм., □12 мм.;;;47
Заглушка 60*50*25 мм., д/поручня 12.035.02 и 12.034.02, литье;Заглушка 60*50*25 мм., д/поручня 12.035.02 и 12.034.02, литье;;;8.05
Цветок Ø38 мм., ≠0.4 мм., штамп.;Цветок Ø38 мм., ≠0.4 мм., штамп.;;;0.43
Пика 80*45 мм., Ø20 мм., горячештамп.;Пика 80*45 мм., Ø20 мм., горячештамп.;;;1.24
Пика 135*60 мм., осн. Ø12 мм., горячештамп.;Пика 135*60 мм., осн. Ø12 мм., горячештамп.;;;1.39
Шар Ø70 мм., ≠2,5 мм., пустотелый;Шар Ø70 мм., ≠2,5 мм., пустотелый;;;4.09
Панель 490*305 мм., Ø12 мм., декоративная;Панель 490*305 мм., Ø12 мм., декоративная;;;21.36
Завиток 200*130 мм., □10 мм. ZIP;Завиток 200*130 мм., □10 мм. ZIP;;;3.65
Лист дуба 139*71 мм., ≠1.5 мм., средний, штамп.;Лист дуба 139*71 мм., ≠1.5 мм., средний, штамп.;;;1.3
Лист дуба 99*49 мм., ≠1.2 мм., малый, штамп.;Лист дуба 99*49 мм., ≠1.2 мм., малый, штамп.;;;0.77
Лист ясеня 101*72 мм., ≠1.5 мм., штамп.;Лист ясеня 101*72 мм., ≠1.5 мм., штамп.;;;1.02
Наконечник □100 мм., ≠1 мм., на столб, штамп.;Наконечник □100 мм., ≠1 мм., на столб, штамп.;;;2.01
Наконечник □30 мм., ≠1 мм., на столб, штамп.;Наконечник □30 мм., ≠1 мм., на столб, штамп.;;;0.46
Наконечник □80 мм., ≠1 мм., на столб, штамп.;Наконечник □80 мм., ≠1 мм., на столб, штамп.;;;1.3
Наконечник Ø100 мм., ≠1 мм., на столб, штамп.;Наконечник Ø100 мм., ≠1 мм., на столб, штамп.;;;1.95
Наконечник Ø30 мм., ≠1 мм., на столб, штамп.;Наконечник Ø30 мм., ≠1 мм., на столб, штамп.;;;0.43
Наконечник Ø40 мм., ≠1 мм., на столб, штамп.;Наконечник Ø40 мм., ≠1 мм., на столб, штамп.;;;0.56
Наконечник Ø48-51 мм., ≠1 мм., на столб, штамп.;Наконечник Ø48-51 мм., ≠1 мм., на столб, штамп.;;;0.65
Пика 100*45 мм., осн. Ø12 мм., горячештамп.;Пика 100*45 мм., осн. Ø12 мм., горячештамп.;;;1.49
Волюта 470*190*125 мм., □15 мм.;Волюта 470*190*125 мм., □15 мм.;;;4.55
Завиток 135*90 мм., □12 мм.;Завиток 135*90 мм., □12 мм.;;;3.75
Завиток 440*170 мм., □10 мм.;Завиток 440*170 мм., □10 мм.;;;5.29
Накладка 200*200 мм., ≠1 мм., штамп.;Накладка 200*200 мм., ≠1 мм., штамп.;;;2.54
Подпятник 40*40 мм., отв. □12 мм., литье;Подпятник 40*40 мм., отв. □12 мм., литье;;;1.83
Лист 100*40 мм., ≠2 мм., штамп., (пара);Лист 100*40 мм., ≠2 мм., штамп., (пара);;;1.05
Цветок Ø95 мм., ≠1.5 мм., штамп.;Цветок Ø95 мм., ≠1.5 мм., штамп.;;;0.99
Лист 225*85 мм., ≠1.5 мм., штамп., (пара);Лист 225*85 мм., ≠1.5 мм., штамп., (пара);;;4.8
Лист 100*130 мм., ≠2 мм., штамп., (пара);Лист 100*130 мм., ≠2 мм., штамп., (пара);;;2.17
Цветок Ø120 мм., ≠1.2 мм., штамп.;Цветок Ø120 мм., ≠1.2 мм., штамп.;;;1.64
Цветок Ø60 мм., ≠1 мм., штамп.;Цветок Ø60 мм., ≠1 мм., штамп.;;;0.46
Лист 90*30 мм., ≠2 мм., штамп., (пара);Лист 90*30 мм., ≠2 мм., штамп., (пара);;;1.49
Лист 115*40 мм., ≠1.5 мм., штамп., (пара);Лист 115*40 мм., ≠1.5 мм., штамп., (пара);;;1.24
Цветок Ø68 мм., ≠1 мм., штамп.;Цветок Ø68 мм., ≠1 мм., штамп.;;;0.34
Цветок Ø95 мм., ≠1.5 мм., штамп.;Цветок Ø95 мм., ≠1.5 мм., штамп.;;;0.65
Цветок Ø55 мм., ≠1.5 мм., штамп.;Цветок Ø55 мм., ≠1.5 мм., штамп.;;;0.5
Цветок Ø75 мм., ≠1.5 мм., штамп.;Цветок Ø75 мм., ≠1.5 мм., штамп.;;;0.71
Цветок Ø100 мм., ≠1.5 мм., штамп.;Цветок Ø100 мм., ≠1.5 мм., штамп.;;;1.21
Цветок Ø115 мм., ≠2 мм., штамп.;Цветок Ø115 мм., ≠2 мм., штамп.;;;1.49
Лист 113*50 мм., ≠2 мм., штамп., (пара);Лист 113*50 мм., ≠2 мм., штамп., (пара);;;1.73
Обжимка 18*1.2 мм., 2000 мм.;Обжимка 18*1.2 мм., 2000 мм.;;;4.21
Полусфера Ø120 мм., ≠1 мм., для столба;Полусфера Ø120 мм., ≠1 мм., для столба;;;2.32
Накладка 240*485 мм., ≠1 мм., штамп.;Накладка 240*485 мм., ≠1 мм., штамп.;;;7.59
Лист 95*95 мм., ≠4 мм., литье;Лист 95*95 мм., ≠4 мм., литье;;;2.14
Краска акриловая черная (2.5 л.) WS-Plast 0001;Краска акриловая черная (2.5 л.) WS-Plast 0001;;;170.87
Растворитель (1 л.) WS-Plast, MV 751;Растворитель (1 л.) WS-Plast, MV 751;;;31.89
Патина золотая (250 мл.) WS-Patina 0014;Патина золотая (250 мл.) WS-Patina 0014;;;59.41
Лист 210*50 мм., ≠3 мм., литье;Листок изогнутый литье 3 мм, 50х285 мм ;;;6.1
Шар Ø25 мм., граненый, горячекованый;Шар Ø25 мм., граненый, горячекованый;;;1.42
Шар Ø30 мм., граненый, горячекованый;Шар Ø30 мм., граненый, горячекованый;;;1.92
Балясина 720*240 мм., ≠20*6 мм.;Балясина 720*240 мм., ≠20*6 мм.;;;27.24
Балясина 1000 мм., Ø14 мм.;Балясина 1000 мм., Ø14 мм.;;;14.4
Балясина 1000 мм., Ø14 мм.;Балясина 1000 мм., Ø14 мм.;;;18.89
Розетка Ø250 мм., □8 мм., без хомутов, кованая;Розетка Ø250 мм., □8 мм., без хомутов, кованая;;;8.05
Накладка 260*60 мм., литье;Накладка 260*60 мм., литье;;;4.71
Цветок Ø95 мм., ≠2 мм., штамп.;Цветок Ø95 мм., ≠2 мм., штамп.;;;0.99
Бабочка 65*110 мм., ≠0.5 мм., штамп.;Бабочка 65*110 мм., ≠0.5 мм., штамп.;;;2.79
Бабочка 125*175 мм., ≠0.5 мм., штамп.;Бабочка 125*175 мм., ≠0.5 мм., штамп.;;;7.74
Балясина 900*55 мм., □12 мм., с 2 корзинками;Балясина 900*55 мм., □12 мм., с 2 корзинками;;;18.36
Балясина 900*180 мм., □12 мм.;Балясина 900*180 мм., □12 мм.;;;30.8
Балясина 900*300 мм., □12 мм.;Балясина 900*300 мм., □12 мм.;;;38.7
Балясина 870*350 мм., ≠12*6 мм., S-образная с листочками;Балясина 870*350 мм., ≠12*6 мм., S-образная с листочками;;;47.37
Балясина 900*235 мм., □12 мм., с волютами и листочками;Балясина 900*235 мм., □12 мм., с волютами и листочками;;;64.92
Балясина 900*170 мм., □12 мм., с волютами и листочками;Балясина 900*170 мм., □12 мм., с волютами и листочками;;;26.63
Балясина 720*235 мм., ≠20*6 мм.;Балясина 720*235 мм., ≠20*6 мм.;;;36.59
Балясина 1000 мм., Ø15 мм.;Балясина 1000 мм., Ø15 мм.;;;18.58
Балясина 900 мм., Ø14 мм.;Балясина 900 мм., Ø14 мм.;;;17.03
Балясина 1000*225 мм., □12 мм., кованая;Балясина 1000*225 мм., □12 мм., кованая;;;81.18
Балясина 1000 мм., □12 мм., кованая;Балясина 1000 мм., □12 мм., кованая;;;10.99
Балясина 1000 мм., □12 мм., кованая;Балясина 1000 мм., □12 мм., кованая;;;11.58
Балясина 1000 мм., □14 мм., кованая, изогнутая;Балясина 1000 мм., □14 мм., кованая, изогнутая;;;11.46
Балясина 1000*200 мм., Ø12 мм., с фигурным верхом;Балясина 1000*200 мм., Ø12 мм., с фигурным верхом;;;95.17
Балясина 1000*60 мм., Ø12 мм.;Балясина 1000*60 мм., Ø12 мм.;;;58.7
Вставка 65* Ø40 мм., отв. Ø16.5 мм., горячештампованная Китай;Вставка 65* Ø40 мм., отв. Ø16.5 мм., горячештампованная Китай;;;3.16
Вставка 23* Ø40 мм., отв. Ø12.5 мм., горячештампованная;Вставка 23* Ø40 мм., отв. Ø12.5 мм., горячештампованная;;;2.17
Вставка 23* Ø40 мм., отв. □12.5 мм., горячештампованная;Вставка 23* Ø40 мм., отв. □12.5 мм., горячештампованная;;;1.95
Вставка 41*37 мм., отв. □12 мм., декоративная;Вставка 41*37 мм., отв. □12 мм., декоративная;;;1.61
Вставка 68* Ø45 мм., отв. □14 мм., декоративная;Вставка 68* Ø45 мм., отв. □14 мм., декоративная;;;8.24
Вставка 46* Ø50 мм., отв. □16 мм., декоративная;Вставка 46* Ø50 мм., отв. □16 мм., декоративная;;;3.9
Завиток 290*120 мм., ≠12*6 мм.;Завиток 290*120 мм., ≠12*6 мм.;;;6.19
Завиток 360*120 мм., ≠14*6 мм.;Завиток 360*120 мм., ≠14*6 мм.;;;10.03
Завиток 290*120 мм., ≠14*6 мм.;Завиток 290*120 мм., ≠14*6 мм.;;;8.11
Завиток 360*120 мм., ≠14*6 мм.;Завиток 360*120 мм., ≠14*6 мм.;;;9.13
Завиток 180*90 мм., ≠12*6 мм.;Завиток 180*90 мм., ≠12*6 мм.;;;4.77
Завиток 110*60 мм., ≠12*6 мм.;Завиток 110*60 мм., ≠12*6 мм.;;;2.17
Завиток 105*70 мм., ≠12*6 мм.;Завиток 105*70 мм., ≠12*6 мм.;;;2.66
Завиток 140*95 мм., ≠12*6 мм.;Завиток 140*95 мм., ≠12*6 мм.;;;3.07
Завиток 150*65 мм., ≠12*6 мм.;Завиток 150*65 мм., ≠12*6 мм.;;;2.63
Завиток 190*70 мм., ≠12*6 мм.;Завиток 190*70 мм., ≠12*6 мм.;;;3.62
Завиток 150*65 мм., ≠14*6 мм.;Завиток 150*65 мм., ≠14*6 мм.;;;1.95
Завиток 190*80 мм., ≠12*6 мм.;Завиток 190*80 мм., ≠12*6 мм.;;;5.57
Завиток 290*80 мм., ≠12*6 мм.;Завиток 290*80 мм., ≠12*6 мм.;;;7.37
Завиток 260*65 мм., ≠12*6 мм.;Завиток 260*65 мм., ≠12*6 мм.;;;7.65
Корзинка 125*60 мм., осн. □14 мм.;Корзинка 125*60 мм., осн. □14 мм.;;;3.65
Корзинка 145*65 мм., осн. □16 мм.;Корзинка 145*65 мм., осн. □16 мм.;;;3.99
Лист 220*115 мм., ≠4 мм., кованый;Лист 220*115 мм., ≠4 мм., кованый;;;16.25
Лист 110*40 мм., ≠3 мм., штамп.;Лист 110*40 мм., ≠3 мм., штамп.;;;1.49
Лист 70*60 мм., ≠3 мм., штамп.;Лист 70*60 мм., ≠3 мм., штамп.;;;1.42
Лист 70*60 мм., ≠3 мм., штамп.;Лист 70*60 мм., ≠3 мм., штамп.;;;1.42
Лист 33*Ø55 мм., ≠0.3 мм., штамп.;Лист 33*Ø55 мм., ≠0.3 мм., штамп.;;;3.99
Лист 40*Ø38 мм., ≠0.3 мм., штамп.;Лист 40*Ø38 мм., ≠0.3 мм., штамп.;;;3.99
Лист 160*70 мм., ≠3 мм., штамп.;Лист 160*70 мм., ≠3 мм., штамп.;;;4.02
Лист 160*70 мм., ≠3 мм., штамп.;Лист 160*70 мм., ≠3 мм., штамп.;;;4.02
Лист 60*28 мм., ≠0.3 мм., штамп.;Лист 60*28 мм., ≠0.3 мм., штамп.;;;0.8
Лист 70*35 мм., ≠0.3 мм., штамп.;Лист 70*35 мм., ≠0.3 мм., штамп.;;;0.99
Лист 155*140 мм., ≠16*8 мм., литье;Лист 155*140 мм., ≠16*8 мм., литье;;;5.88
Лист винограда 125*75 мм., Ø8 мм., ≠3 мм., литье;Лист винограда 125*75 мм., Ø8 мм., ≠3 мм., литье;;;1.7
Лист 220*105 мм., ≠16*8 мм., литье;Лист 220*105 мм., ≠16*8 мм., литье;;;10.06
Лист 220*105 мм., ≠16*8 мм., литье;Лист 220*105 мм., ≠16*8 мм., литье;;;10.06
Лист 130*65 мм., Ø12 мм., ≠4 мм., литье;Лист 130*65 мм., Ø12 мм., ≠4 мм., литье;;;3.47
Лист 250*150 мм., ≠16*6 мм., литье;Лист 250*150 мм., ≠16*6 мм., литье;;;13
Лист 190*160 мм., Ø12 мм., ≠4 мм., литье;Лист 190*160 мм., Ø12 мм., ≠4 мм., литье;;;8.24
Лист 270*50 мм., ≠3 мм., литье;Листок литье 3 мм, 50х285 мм ;;;7.55
Лист 250*130 мм., ≠3 мм., литье;Листок литье 3 мм, 130х250 мм ;;;12.23
Лист 190*45 мм., ≠4 мм., кованый;Лист 190*45 мм., ≠4 мм., кованый;;;5.88
Лист 190*45 мм., ≠4 мм., кованый;Лист 190*45 мм., ≠4 мм., кованый;;;5.88
Наконечник 125 мм., осн. Ø47 мм., горячештамп.;Наконечник 125 мм., осн. Ø47 мм., горячештамп.;;;25.02
Наконечник 100 мм., шар Ø70 мм., осн. Ø55 мм., горячештамп.;Наконечник 100 мм., шар Ø70 мм., осн. Ø55 мм., горячештамп.;;;30.31
Окончание к поручню 114/8, 290*100 мм.;Окончание к поручню 114/8, 290*100 мм.;;;20.96
Панель 770*250 мм., □12 мм., декоративная;Панель 770*250 мм., □12 мм., декоративная;;;100.09
Панель 1000*430 мм., □12 мм., с цветком, дек.;Панель 1000*430 мм., □12 мм., с цветком, дек.;;;168.58
Панель 1000*420 мм., ≠16*8 мм., декоративная;Панель 1000*420 мм., ≠16*8 мм., декоративная;;;198.45
Панель 1000*495 мм., ≠14*8 мм., декоративная;Панель 1000*495 мм., ≠14*8 мм., декоративная;;;319.5
Пика 125 мм., осн. 12 мм., лилия, горячештамп.;Пика 125 мм., осн. 12 мм., лилия, горячештамп.;;;1.18
Пика 150 мм., осн. Ø15 мм., лилия, горячештамп.;Пика 150 мм., осн. Ø15 мм., лилия, горячештамп.;;;1.58
Пика 140 мм., осн. □14 мм., горячештамп.;Пика 140 мм., осн. □14 мм., горячештамп.;;;1.7
Пика 140*25 мм., осн. □10 мм., горячештамп.;Пика 140*25 мм., осн. □10 мм., горячештамп.;;;1.55
Пика 150*40 мм., осн. Ø33 мм., горячештамп.; Пика основание диам. 33 мм, 40х150 мм;;;1.73
Пика 200 мм., осн. Ø35 мм., горячештамп.;Пика 200 мм., осн. Ø35 мм., горячештамп.;;;6.35
Пика 170 мм., осн. Ø30 мм., горячештамп.;Пика 170 мм., осн. Ø30 мм., горячештамп.;;;5.36
Подпятник 100*100 мм., без отв., ≠10 мм., литье;Подпятник 100*100 мм., без отв., ≠10 мм., литье;;;5.88
Подпятник 80*80 мм., отв. □26 мм., h18 мм., литье;Подпятник 80*80 мм., отв. □26 мм., h18 мм., литье;;;3.72
Подпятник Ø40 мм., отв. Ø12.5 мм., h15 мм., литье;Подпятник Ø40 мм., отв. Ø12.5 мм., h15 мм., литье;;;2.04
Подпятник Ø60 мм., отв. Ø31 мм., h18 мм., литье;Подпятник Ø60 мм., отв. Ø31 мм., h18 мм., литье;;;2.32
Полоса 32*6 мм., 3000 мм., декоративная;Полоса 32*6 мм., 3000 мм., декоративная;;;51.49
Розетка Ø250 мм., □8 мм., без хомутов, кованая;Розетка Ø250 мм., □8 мм., без хомутов, кованая;;;10.68
Розетка Ø250 мм., ≠20*4 мм., без хомутов, кованая;Розетка Ø250 мм., ≠20*4 мм., без хомутов, кованая;;;21.11
Розетка 530*430 мм., □12 мм., с центр. цветком, кованая;Розетка 530*430 мм., □12 мм., с центр. цветком, кованая;;;68.98
Розетка 380*230 мм., ≠12*6 мм., с хомутами, кованая;Розетка 380*230 мм., ≠12*6 мм., с хомутами, кованая;;;16.1
Розетка 900*385 мм., □12 мм., с центр. кольцом, кованая;Розетка 900*385 мм., □12 мм., с центр. кольцом, кованая;;;138.64
Розетка 860*860 мм., Ø12 мм., кованая;Розетка 860*860 мм., Ø12 мм., кованая;;;157.83
Розетка Ø445 мм., □12 мм., с хомутами, кованая;Розетка Ø445 мм., □12 мм., с хомутами, кованая;;;62.23
Розетка 530*430 мм., □12 мм., с центр. цветком, гладкая;Розетка 530*430 мм., □12 мм., с центр. цветком, гладкая;;;137.93
Столб опорный □20 мм., 1100 мм., с торсир. и корзинкой;Столб опорный □20 мм., 1100 мм., с торсир. и корзинкой;;;67.49
Столб опорный Ø25 мм., 1200 мм.;Столб опорный Ø25 мм., 1200 мм.;;;55.51
Цветок Ø105 мм., ≠4 мм., кованый;Цветок Ø105 мм., ≠4 мм., кованый;;;6.07
Цветок Ø115 мм, ≠4 мм., кованый;Цветок Ø115 мм, ≠4 мм., кованый;;;5.88
Цветок Ø65 мм., отв. Ø15 мм., ≠8 мм., литье;Цветок Ø65 мм., отв. Ø15 мм., ≠8 мм., литье;;;6.13
Цветок Ø95 мм., ≠3 мм., штамп.;Цветок Ø95 мм., ≠3 мм., штамп.;;;1.86
Цветок Ø60 мм., отв. Ø10 мм., ≠2 мм., штамп.;Цветок Ø60 мм., отв. Ø10 мм., ≠2 мм., штамп.;;;2.14
Цветок Ø88 мм., отв. Ø17 мм., ≠2 мм., штамп.;Цветок Ø88 мм., отв. Ø17 мм., ≠2 мм., штамп.;;;3.72
Цветок Ø60 мм., ≠2 мм., штамп.;Цветок Ø60 мм., ≠2 мм., штамп.;;;1.61
Роза 260 мм., с листочками, кованая;Роза 260 мм., с листочками, кованая;;;23.07
Цветок Ø60 мм., отв. Ø8 мм., ≠3 мм., литье;Цветок Ø60 мм., отв. Ø8 мм., ≠3 мм., литье;;;1.52
Колокольчик 40* Ø40 мм., ≠3 мм., литье;Колокольчик 40* Ø40 мм., ≠3 мм., литье;;;1.39
Цветок Ø90 мм., отв. Ø8 мм., ≠3 мм., литье;Цветок Ø90 мм., отв. Ø8 мм., ≠3 мм., литье;;;2.41
Цветок 110*110 мм., ≠4 мм., кованый;Цветок 110*110 мм., ≠4 мм., кованый;;;6.04
Цветок Ø95 мм., ≠3 мм., с шариком, штамп.;Цветок Ø95 мм., ≠3 мм., с шариком, штамп.;;;8.24
Цветок Ø65 мм., ≠3 мм., с шариком, штамп.;Цветок Ø65 мм., ≠3 мм., с шариком, штамп.;;;3.1
Цветок 80*80 мм., ≠4 мм., кованый;Цветок 80*80 мм., ≠4 мм., кованый;;;2.32
Шар Ø25 мм., горячештампованный;Шар Ø25 мм., горячештампованный;;;0.59
Шар Ø50 мм., горячештампованный;Шар Ø50 мм., горячештампованный;;;4.33
Шар Ø60 мм., горячештампованный;Шар Ø60 мм., горячештампованный;;;10.56
Шар Ø35 мм., горячештампованный;Шар Ø35 мм., горячештампованный;;;1.64
Пика 130*70 мм., осн. Ø20 мм., горячештамп.;Пика 130*70 мм., осн. Ø20 мм., горячештамп.;;;1.02
Патина золотая (250 мл.);Патина золотая (250 мл.);;;76.47
Патина золотая-античная (250 мл.);Патина золотая-античная (250 мл.);;;87
Виноград 130*65 мм., ≠0,5 мм. штамп.;Виноград 130*65 мм., ≠0,5 мм. штамп.;;;1.36
Лист 105*95 мм., ≠0.5 мм., штамп.;Лист 105*95 мм., ≠0.5 мм., штамп.;;;0.74
Балясина 1000*205 мм., □14 мм.;Балясина 1000*205 мм., □14 мм.;;;116.66
Балясина 1000 мм., Ø12 мм.;Балясина 1000 мм., Ø12 мм.;;;18.92
Балясина 900*235 мм., □12 мм.;Балясина 900*235 мм., □12 мм.;;;44.89
Балясина 900 мм., Ø40 мм., из трубы;Балясина 900 мм., Ø40 мм., из трубы;;;41.27
Подставка 290*300 мм., 75*3 мм.;Подставка 290*300 мм., 75*3 мм.;;;20.84
Побег винограда Ø6 мм., 300*160 мм.;Побег винограда Ø6 мм., 300*160 мм.;;;3.37
Побег винограда Ø6 мм., 280*110 мм.;Побег винограда Ø6 мм., 280*110 мм.;;;3.59
Голубь 95*125 мм.;Голубь 95*125 мм.;;;6.66
Колибри 120*110 мм.;Колибри 120*110 мм.;;;8.54
Заглушка 16 мм., осн. □15 мм., ПНД;Заглушка 16 мм., осн. □15 мм., ПНД;;;0.15
Заглушка 25 мм., осн. □50 мм., ПНД;Заглушка 25 мм., осн. □50 мм., ПНД;;;0.65
Заглушка 25 мм., осн. □60 мм., ПНД;Заглушка 25 мм., осн. □60 мм., ПНД;;;0.68
Заглушка 25 мм., осн. Ø57 мм., ПНД;Заглушка 25 мм., осн. Ø57 мм., ПНД;;;0.74
Накладка 145*60 мм., □14 мм., ≠1 мм., штамп.;Накладка 145*60 мм., □14 мм., ≠1 мм., штамп.;;;0.93
Угол 135*135 мм., ≠1 мм., штамп.;Угол 135*135 мм., ≠1 мм., штамп.;;;1.39
Балясина 1000*40 мм., Ø14 мм.;Балясина 1000*40 мм., Ø14 мм.;;;24.4
Пика 150*55 мм., осн. Ø15 мм., горячештамп.;Пика 150*55 мм., осн. Ø15 мм., горячештамп.;;;1.7
Профиль □14 мм., 2000 мм., с кругл. вставками;Профиль □14 мм., 2000 мм., с кругл. вставками;;;18.27
Балясина 870*370 мм., ≠16*8 мм., S-образная;Балясина 870*370 мм., ≠16*8 мм., S-образная;;;138.95
Пика 140*50 мм., осн. Ø14 мм., горячештамп.;Пика 140*50 мм., осн. Ø14 мм., горячештамп.;;;2.38
Вставка 65* Ø30 мм., отв. Ø13 мм., на балясину из трубы;Вставка 65* Ø30 мм., отв. Ø13 мм., на балясину из трубы;;;2.14
Балясина 900 мм., □14 мм.;Балясина 900 мм., □14 мм.;;;10.53
